"authorId","name","email","affiliation"
"1871080","Thomas Staubitz","thomasstaubitz@example.edu","Meta Toronto"
"51935136","H. Traifeh","h.traifeh@example.edu","Meta Paris"
"1708312","C. Meinel","c.meinel@example.edu","University of Paris"
"2111107765","Liya Huang","liyahuang@example.edu","University of London"
"145409600","Zhong Wu","zhongwu@example.edu","Amazon New York"
"2117843696","Kan Wang","kanwang@example.edu","Nvidia Berlin"
"49268145","John R. Hu","johnr.hu@example.edu","Meta Tokyo"
"2108206276","James Chen","jameschen@example.edu","Amazon London"
"98382562","B. Liew","b.liew@example.edu","Nvidia New York"
"2108846942","Yanfeng Wang","yanfengwang@example.edu","Meta Toronto"
"46213978","Lianxi Shen","lianxishen@example.edu","Meta New York"
"2069043470","Lin Cong","lincong@example.edu","University of Tokyo"
"2110616994","Yuanyuan Li","yuanyuanli@example.edu","Amazon Tokyo"
"51239934","Luca E. Schäfer","lucae.schäfer@example.edu","Amazon London"
"51240458","Tobias Dietz","tobiasdietz@example.edu","Meta Rome"
"49560206","Nicolas Fröhlich","nicolasfröhlich@example.edu","University of New York"
"3346156","Stefan Ruzika","stefanruzika@example.edu","Meta Toronto"
"1718186","J. Figueira","j.figueira@example.edu","Amazon Barcelona"
"3456360","I. Ihianle","i.ihianle@example.edu","Nvidia Sydney"
"1888283","Usman Naeem","usmannaeem@example.edu","Amazon Paris"
"145717387","Syed Islam","syedislam@example.edu","Nvidia Sydney"
"2397331","A. H. Tawil","a.h.tawil@example.edu","Nvidia Rome"
"153391047","D. Baumann","d.baumann@example.edu","Meta New York"
"12205458","N. Dibbern","n.dibbern@example.edu","Meta Berlin"
"4258618","S. Sehner","s.sehner@example.edu","Nvidia Tokyo"
"144408337","C. Zöllner","c.zöllner@example.edu","Nvidia Berlin"
"12593622","W. Reip","w.reip@example.edu","University of Rome"
"7392803","J. Kubitz","j.kubitz@example.edu","Amazon Paris"
"145690248","Ting Yao","tingyao@example.edu","University of Toronto"
"3202968","Yingwei Pan","yingweipan@example.edu","Microsoft Sydney"
"3431141","Yehao Li","yehaoli@example.edu","Nvidia Toronto"
"144025741","Tao Mei","taomei@example.edu","Microsoft Paris"
"51302388","Md. Atikur Rahman Sabuj","md.atikurrahmansabuj@example.edu","Nvidia London"
"2316559532","Umesh Biswas","umeshbiswas@example.edu","Amazon Berlin"
"2808503","Kamrul Hasan Talukder","kamrulhasantalukder@example.edu","Microsoft Sydney"
"2115711229","Haijun Liu","haijunliu@example.edu","University of Sydney"
"2109077611","Jian Cheng","jiancheng@example.edu","University of Tokyo"
"39369840","Feng Wang","fengwang@example.edu","Nvidia Rome"
"144040982","O. Taran","o.taran@example.edu","Microsoft Paris"
"3074253","Shideh Rezaeifar","shidehrezaeifar@example.edu","Nvidia Rome"
"9428112","S. Voloshynovskiy","s.voloshynovskiy@example.edu","Meta Tokyo"
"3018450","Ayan Palchaudhuri","ayanpalchaudhuri@example.edu","Microsoft Sydney"
"3061534","A. Dhar","a.dhar@example.edu","Microsoft Paris"
"2227667","Naifan Zhuang","naifanzhuang@example.edu","Amazon Paris"
"29765068","T. Kieu","t.kieu@example.edu","University of Tokyo"
"2110732840","Jun Ye","junye@example.edu","Microsoft Paris"
"1730455","K. Hua","k.hua@example.edu","Meta Berlin"
"2118927866","Shivangi Gupta","shivangigupta@example.edu","Nvidia Rome"
"2617736","A. Sabitha","a.sabitha@example.edu","Microsoft New York"
"50661613","Mudasir Hussain","mudasirhussain@example.edu","University of Toronto"
"15231470","M. Salman","m.salman@example.edu","Nvidia London"
"2416196057","Rohit","rohit@example.edu","Amazon New York"
"2069136507","Abdul Subhan","abdulsubhan@example.edu","University of New York"
"2405496169","Hamza Khalid","hamzakhalid@example.edu","Amazon Toronto"
"2053559877","S. S. Zaidi","s.s.zaidi@example.edu","Amazon New York"
"117229939","A. Izadi","a.izadi@example.edu","Meta London"
"9320363","N. Hinze","n.hinze@example.edu","University of London"
"1711890","A. Trani","a.trani@example.edu","Microsoft Barcelona"
"9186000","Aswin K. Gunnam","aswink.gunnam@example.edu","Amazon London"
"51439286","Yoojeong Song","yoojeongsong@example.edu","Amazon London"
"2108391214","Jongwoo Lee","jongwoolee@example.edu","Meta Tokyo"
"145801617","M. Walter","m.walter@example.edu","University of Tokyo"
"1733984","D. Shutin","d.shutin@example.edu","University of New York"
"2132615","A. Dammann","a.dammann@example.edu","Amazon Sydney"
"1808599","D. Matolak","d.matolak@example.edu","Nvidia Toronto"
"3413161","Kyungwoon Lee","kyungwoonlee@example.edu","Amazon New York"
"2109426255","Chi-Young Lee","chi-younglee@example.edu","University of Tokyo"
"2634930","Cheol-Ho Hong","cheol-hohong@example.edu","University of New York"
"1798031","C. Yoo","c.yoo@example.edu","Amazon New York"
"1890291","Yufeng Yu","yufengyu@example.edu","Meta New York"
"2381987","G. Luo","g.luo@example.edu","Amazon Tokyo"
"28500456","A. Omar","a.omar@example.edu","Meta Sydney"
"26966619","Xuan Liu","xuanliu@example.edu","Microsoft Berlin"
"31003886","Weiliang Yu","weiliangyu@example.edu","Amazon Tokyo"
"1942842","Z. Hao","z.hao@example.edu","University of New York"
"1734171","Z. Shen","z.shen@example.edu","Nvidia Tokyo"
"2139982064","I. Erofeeva","i.erofeeva@example.edu","Meta Paris"
"21456131","Stefanie Manzinger","stefaniemanzinger@example.edu","Nvidia Sydney"
"3280431","M. Althoff","m.althoff@example.edu","Meta Berlin"
"2145913417","Yueyue Zhang","yueyuezhang@example.edu","University of Tokyo"
"3492940","Yaping Zhu","yapingzhu@example.edu","University of Sydney"
"145281975","Feng Yan","fengyan@example.edu","Microsoft London"
"1802030","Weiwei Xia","weiweixia@example.edu","Amazon Toronto"
"1738539","Lianfeng Shen","lianfengshen@example.edu","Amazon Toronto"
"1730285","A. Razaque","a.razaque@example.edu","Microsoft Sydney"
"2130139463","Jinrui Wang","jinruiwang@example.edu","Microsoft London"
"2200107457","Zancheng Wang","zanchengwang@example.edu","Microsoft Barcelona"
"9231275","Q. B. Hani","q.b.hani@example.edu","Nvidia Rome"
"46254274","M. Khaskheli","m.khaskheli@example.edu","Nvidia Rome"
"4347364","W. A. Bhutto","w.a.bhutto@example.edu","Microsoft Berlin"
"2632975","W. Segars","w.segars@example.edu","Microsoft Barcelona"
"103418428","B. Tsui","b.tsui@example.edu","University of London"
"2087286167","Jing Cai","jingcai@example.edu","University of London"
"144154378","F. Yin","f.yin@example.edu","Microsoft Berlin"
"33112537","G. Fung","g.fung@example.edu","Amazon Sydney"
"2927992","E. Samei","e.samei@example.edu","Nvidia London"
"144867093","N. Prasad","n.prasad@example.edu","Meta Rome"
"153018154","Xiao-Feng Qi","xiao-fengqi@example.edu","Meta London"
"2771157","A. Gatherer","a.gatherer@example.edu","Nvidia Toronto"
"145465399","A. Doulgeris","a.doulgeris@example.edu","University of Tokyo"
"152908943","Anca Cristea","ancacristea@example.edu","University of Toronto"
"7853220","R. Khodambashi","r.khodambashi@example.edu","University of Toronto"
"145294525","M. Sharifzadeh","m.sharifzadeh@example.edu","Amazon Barcelona"
"98720102","Daniel M. Aukes","danielm.aukes@example.edu","Nvidia Barcelona"
"51306401","Khalid. M. Elhag","khalid.m.elhag@example.edu","Meta Paris"
"3044277","Wanchang Zhang","wanchangzhang@example.edu","University of Toronto"
"50819929","Atul Dixit","atuldixit@example.edu","Nvidia Toronto"
"102663037","Pramod Eyyunni","pramodeyyunni@example.edu","Nvidia Paris"
"11751955","B. Maji","b.maji@example.edu","Amazon Rome"
"2070241213","G. Sood","g.sood@example.edu","Microsoft Sydney"
"1398564411","F. Martínez-Sánchez","f.martínez-sánchez@example.edu","Microsoft Paris"
"2086686065","J. J. Meilán","j.j.meilán@example.edu","Meta New York"
"78490823","J. Carro","j.carro@example.edu","Nvidia Barcelona"
"50513594","O. Ivanova","o.ivanova@example.edu","University of London"
"38737539","M. Bieniek","m.bieniek@example.edu","Amazon London"
"2758576","M. Burkschat","m.burkschat@example.edu","Microsoft Rome"
"51367560","A. Gachenko","a.gachenko@example.edu","Meta Sydney"
"51445133","A. E. Hmelnov","a.e.hmelnov@example.edu","Meta Berlin"
"80000844","T. A. Hmelnova","t.a.hmelnova@example.edu","Amazon Berlin"
"51446964","G. Rugnikov","g.rugnikov@example.edu","University of Sydney"
